ARTICLE_ID,EXTERNAL_ID,EXTERNAL_AUTHOR_ID,HEADLINE,AUTHOR,CONTENT,ARTICLE_URL,MEDIA_PROVIDER,REGION,LANGUAGE,POST_STATUS,PUBLISH_DATE,HARVESTED_DATE,SENTIMENT,VIEW_COUNT,COMMENT_COUNT,UNIQUE_COMMENTERS,ENGAGEMENT,LIKES_AND_VOTES,INBOUND_LINKS,FORUM_THREAD_SIZE,FOLLOWING,FOLLOWERS,UPDATES,POST_TYPE
5.68982E+11,7.95477E+17,48967891,TWEET FROM: akaXochi,AKAXOCHI,Black Culture To Be Celebrated In First Black Power Awards https://t.co/0JnS2Ts48O @BlackMattersUS https://t.co/yrssN7Ok5f,http://twitter.com/48967891/statuses/795477037846855680,TWITTER,United States,English,No,11/7/2016 4:04,11/7/2016 4:04,Positive,0,0,0,0,0,0,0,2652,1851,100365,RETWEET
5.68982E+11,7.95477E+17,186302155,TWEET FROM: jean23bean,JEAN23BEAN,"1.#MichelleShirley got shot by the police while having mental health crises She was bipolar.They shot her, then lied in the report about it. https://t.co/yTwdPTbTpi",http://twitter.com/186302155/statuses/795476947052752897,TWITTER,United States,English,No,11/7/2016 4:04,11/7/2016 4:04,Negative,0,0,0,0,0,0,0,1399,592,1421,RETWEET
5.68981E+11,7.95476E+17,3034626213,TWEET FROM: blicqer,BLICQER,Black Culture To Be Celebrated In First Black Power Awards https://t.co/0JnS2Ts48O @BlackMattersUS https://t.co/yrssN7Ok5f,http://twitter.com/3034626213/statuses/795476295081562112,TWITTER,United States,English,No,11/7/2016 4:01,11/7/2016 4:01,Positive,0,0,0,0,0,0,0,56764,75108,131896,
5.68981E+11,7.95476E+17,69998229,TWEET FROM: IMETGODSHEBLACK,IMETGODSHEBLACK,"1.#MichelleShirley got shot by the police while having mental health crises She was bipolar.They shot her, then lied in the report about it. https://t.co/yTwdPTbTpi",http://twitter.com/69998229/statuses/795476022686646272,TWITTER,United States,English,No,11/7/2016 4:00,11/7/2016 4:00,Negative,0,0,0,0,0,0,0,2006,1062,53569,RETWEET
5.6898E+11,7.95475E+17,37868697,TWEET FROM: Krusta,KRUSTA,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/37868697/statuses/795475006029434880,TWITTER,Greece,English,No,11/7/2016 3:56,11/7/2016 3:56,Positive,0,0,0,0,0,0,0,105,156,9712,RETWEET
5.68979E+11,7.95474E+17,163813257,TWEET FROM: chaz1944,CHAZ1944,"A police-involved shooting in Mount Greenwood, Chicago leaves a Black man dead. https://t.co/HicNIGCRHj",http://twitter.com/163813257/statuses/795474256247291908,TWITTER,United States,English,No,11/7/2016 3:53,11/7/2016 3:53,Negative,0,0,0,0,0,0,0,10152,11694,114733,RETWEET
5.68979E+11,7.95474E+17,547002258,TWEET FROM: BWorthingtonIII,BWORTHINGTONIII,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/547002258/statuses/795474196503609348,TWITTER,Canada,English,No,11/7/2016 3:53,11/7/2016 3:53,Positive,0,0,0,0,0,0,0,4827,7480,75006,RETWEET
5.68978E+11,7.95474E+17,2955195313,TWEET FROM: hootie0321,HOOTIE0321,"1.#MichelleShirley got shot by the police while having mental health crises She was bipolar.They shot her, then lied in the report about it. https://t.co/yTwdPTbTpi",http://twitter.com/2955195313/statuses/795473747696304132,TWITTER,United States,English,No,11/7/2016 3:51,11/7/2016 3:51,Negative,0,0,0,0,0,0,0,1791,1887,37707,RETWEET
5.68978E+11,7.95473E+17,24491044,TWEET FROM: dijoni,DIJONI,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/24491044/statuses/795473050242158593,TWITTER,United States,English,No,11/7/2016 3:48,11/7/2016 3:49,Positive,0,0,0,0,0,0,0,876,1656,55750,RETWEET
5.68977E+11,7.95472E+17,163813257,TWEET FROM: chaz1944,CHAZ1944,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/163813257/statuses/795472130246934530,TWITTER,United States,English,No,11/7/2016 3:45,11/7/2016 3:45,Positive,0,0,0,0,0,0,0,10152,11694,114723,RETWEET
5.68976E+11,7.95472E+17,7.17567E+17,TWEET FROM: PopulistDemand,POPULISTDEMAND,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/717567400900706304/statuses/795471567891337220,TWITTER,United States,English,No,11/7/2016 3:42,11/7/2016 3:43,Positive,0,0,0,0,0,0,0,1250,1250,19002,RETWEET
5.68976E+11,7.95471E+17,3272268043,TWEET FROM: 265961fc22994f5,265961FC22994F5,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/3272268043/statuses/795471371681677313,TWITTER,United States,English,No,11/7/2016 3:42,11/7/2016 3:42,Positive,0,0,0,0,0,0,0,560,284,9538,RETWEET
5.68976E+11,7.95471E+17,50801833,TWEET FROM: HooplaHappens,HOOPLAHAPPENS,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/50801833/statuses/795471189552562176,TWITTER,United States,English,No,11/7/2016 3:41,11/7/2016 3:41,Positive,0,0,0,0,0,0,0,2525,2216,25090,RETWEET
5.68975E+11,7.9547E+17,433571898,TWEET FROM: arafatmasimbi,ARAFATMASIMBI,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/433571898/statuses/795470395080134656,TWITTER,South Africa,English,No,11/7/2016 3:38,11/7/2016 3:38,Positive,0,0,0,0,0,0,0,1619,485,9340,RETWEET
5.68972E+11,7.95468E+17,298977980,TWEET FROM: Mackaroni_510,MACKARONI_510,First Black Power Awards looks to become the home of Black culture and ‘Authentic Black’ Celebration.  https://t.co/vVZsYsxMtL,http://twitter.com/298977980/statuses/795468324696010752,TWITTER,United States,English,No,11/7/2016 3:30,11/7/2016 3:30,Positive,0,0,0,0,0,0,0,287,440,92237,RETWEET
5.68971E+11,7.95467E+17,27195926,TWEET FROM: MoxieB,MOXIEB,A white mob confronted and racially insulted Black Lives Matter activists https://t.co/Nc8GXJdEWg,http://twitter.com/27195926/statuses/795467431661682688,TWITTER,United States,English,No,11/7/2016 3:26,11/7/2016 3:26,Negative,0,0,0,0,0,0,0,2493,1793,21029,RETWEET
5.68968E+11,7.95464E+17,2202367954,TWEET FROM: 1perfectpeace,1PERFECTPEACE,Louisiana Sheriff Told Officers To Treat Blacks As ‘Animals' https://t.co/rMjXD5pnIF,http://twitter.com/2202367954/statuses/795463993272008704,TWITTER,Unknown,English,No,11/7/2016 3:12,11/7/2016 3:12,Neutral,0,0,0,0,0,0,0,202,30,516,RETWEET
5.68966E+11,7.95463E+17,338564309,TWEET FROM: endbullying2013,ENDBULLYING2013,"'@blackmattersus leader of NSM nazi party says 24:40 in ""i cant endorse trump cuz i dont wanna ruin his chances2win""  https://t.co/Tse7bs7Qvg'",http://twitter.com/338564309/statuses/795462748368936960,TWITTER,United States,English,No,11/7/2016 3:07,11/7/2016 3:08,Neutral,0,0,0,0,0,0,0,85,32,39,
5.68964E+11,7.95461E+17,3034626213,TWEET FROM: blicqer,BLICQER,Meek Mill Lashes Out At ‘All Lives Matter’ Celebrities https://t.co/2FFKziJq6B @BlackMattersUS https://t.co/39Gv3BqSZr,http://twitter.com/3034626213/statuses/795460842317717504,TWITTER,United States,English,No,11/7/2016 3:00,11/7/2016 3:00,Positive,0,0,0,0,0,0,0,56767,75111,131872,
